Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Bangladesh,Netherlands,Bangladesh,25 runs,Kingstown,"Jun 13, 2024",T20I # 2677
Israel,Portugal,Israel,2 wickets,Spinaceto,"Jun 13, 2024",T20I # 2675
Italy,Turkey,Italy,9 wickets,Rome,"Jun 13, 2024",T20I # 2676
Hungary,Romania,Romania,8 wickets,Spinaceto,"Jun 13, 2024",T20I # 2673
France,Luxembourg,France,13 runs,Rome,"Jun 13, 2024",T20I # 2674
West Indies,New Zealand,West Indies,13 runs,Tarouba,"Jun 12, 2024",T20I # 2672
U.S.A.,India,India,7 wickets,New York,"Jun 12, 2024",T20I # 2671
Luxembourg,Turkey,Luxembourg,73 runs,Spinaceto,"Jun 12, 2024",T20I # 2669
Hungary,Israel,Hungary,1 wicket,Rome,"Jun 12, 2024",T20I # 2670
Italy,Isle of Man,Italy,7 wickets,Spinaceto,"Jun 12, 2024",T20I # 2667
Austria,Portugal,Austria,7 wickets,Rome,"Jun 12, 2024",T20I # 2668
Australia,Namibia,Australia,9 wickets,North Sound,"Jun 11, 2024",T20I # 2666
Canada,Pakistan,Pakistan,7 wickets,New York,"Jun 11, 2024",T20I # 2665
Bangladesh,South Africa,South Africa,4 runs,New York,"Jun 10, 2024",T20I # 2664
Portugal,Romania,Romania,6 wickets,Spinaceto,"Jun 10, 2024",T20I # 2662
Italy,France,Italy,5 wickets,Rome,"Jun 10, 2024",T20I # 2663
Austria,Israel,Austria,7 wickets,Spinaceto,"Jun 10, 2024",T20I # 2660
Isle of Man,Turkey,Isle of Man,81 runs,Rome,"Jun 10, 2024",T20I # 2661
Oman,Scotland,Scotland,7 wickets,North Sound,"Jun 9, 2024",T20I # 2659
India,Pakistan,India,6 runs,New York,"Jun 9, 2024",T20I # 2658
Belgium,Guernsey,Guernsey,7 wickets,Waterloo,"Jun 9, 2024",T20I # 2657
France,Isle of Man,France,16 runs,Spinaceto,"Jun 9, 2024",T20I # 2655
Austria,Romania,Romania,3 wickets,Rome,"Jun 9, 2024",T20I # 2656
Belgium,Guernsey,Belgium,6 wickets,Waterloo,"Jun 9, 2024",T20I # 2654
Italy,Luxembourg,Italy,77 runs,Spinaceto,"Jun 9, 2024",T20I # 2652
Hungary,Portugal,Portugal,15 runs,Rome,"Jun 9, 2024",T20I # 2653
West Indies,Uganda,West Indies,134 runs,Providence,"Jun 8, 2024",T20I # 2651
Australia,England,Australia,36 runs,Bridgetown,"Jun 8, 2024",T20I # 2650
Netherlands,South Africa,South Africa,4 wickets,New York,"Jun 8, 2024",T20I # 2649
Belgium,Guernsey,Belgium,4 wickets,Waterloo,"Jun 8, 2024",T20I # 2648
Belgium,Guernsey,Guernsey,6 wickets,Waterloo,"Jun 8, 2024",T20I # 2647
Bangladesh,Sri Lanka,Bangladesh,2 wickets,Dallas,"Jun 7, 2024",T20I # 2646
Afghanistan,New Zealand,Afghanistan,84 runs,Providence,"Jun 7, 2024",T20I # 2645
Canada,Ireland,Canada,12 runs,New York,"Jun 7, 2024",T20I # 2644
Namibia,Scotland,Scotland,5 wickets,Bridgetown,"Jun 6, 2024",T20I # 2643
U.S.A.,Pakistan,tied,-,Dallas,"Jun 6, 2024",T20I # 2642
Australia,Oman,Australia,39 runs,Bridgetown,"Jun 5, 2024",T20I # 2641
P.N.G.,Uganda,Uganda,3 wickets,Providence,"Jun 5, 2024",T20I # 2640
India,Ireland,India,8 wickets,New York,"Jun 5, 2024",T20I # 2639
Nepal,Netherlands,Netherlands,6 wickets,Dallas,"Jun 4, 2024",T20I # 2638
England,Scotland,no result,-,Bridgetown,"Jun 4, 2024",T20I # 2637
Afghanistan,Uganda,Afghanistan,125 runs,Providence,"Jun 3, 2024",T20I # 2636
South Africa,Sri Lanka,South Africa,6 wickets,New York,"Jun 3, 2024",T20I # 2635
Namibia,Oman,tied,-,Bridgetown,"Jun 2, 2024",T20I # 2634
West Indies,P.N.G.,West Indies,5 wickets,Providence,"Jun 2, 2024",T20I # 2633
U.S.A.,Canada,U.S.A.,7 wickets,Dallas,"Jun 1, 2024",T20I # 2632
England,Pakistan,England,7 wickets,The Oval,"May 30, 2024",T20I # 2631
West Indies,South Africa,West Indies,8 wickets,Kingston,"May 26, 2024",T20I # 2630
Austria,Belgium,Austria,75 runs,Lower Austria,"May 26, 2024",T20I # 2629
Romania,Bulgaria,Romania,74 runs,Ilfov County,"May 26, 2024",T20I # 2628
Austria,Belgium,Belgium,9 wickets,Lower Austria,"May 26, 2024",T20I # 2627
West Indies,South Africa,West Indies,16 runs,Kingston,"May 25, 2024",T20I # 2626
U.S.A.,Bangladesh,Bangladesh,10 wickets,Prairie View,"May 25, 2024",T20I # 2625
Romania,Gibraltar,Gibraltar,6 wickets,Ilfov County,"May 25, 2024",T20I # 2624
England,Pakistan,England,23 runs,Birmingham,"May 25, 2024",T20I # 2623
Austria,Belgium,Austria,6 wickets,Lower Austria,"May 25, 2024",T20I # 2622
Austria,Belgium,Belgium,6 wickets,Lower Austria,"May 25, 2024",T20I # 2621
Romania,Bulgaria,Romania,7 wickets,Ilfov County,"May 24, 2024",T20I # 2620
Netherlands,Ireland,Ireland,3 runs,The Hague,"May 24, 2024",T20I # 2619
Bulgaria,Gibraltar,Gibraltar,5 wickets,Ilfov County,"May 24, 2024",T20I # 2618
West Indies,South Africa,West Indies,28 runs,Kingston,"May 23, 2024",T20I # 2617
U.S.A.,Bangladesh,U.S.A.,6 runs,Prairie View,"May 23, 2024",T20I # 2616
Ireland,Scotland,Ireland,5 wickets,The Hague,"May 23, 2024",T20I # 2615
Netherlands,Scotland,Scotland,71 runs,The Hague,"May 22, 2024",T20I # 2614
U.S.A.,Bangladesh,U.S.A.,5 wickets,Prairie View,"May 21, 2024",T20I # 2613
Netherlands,Ireland,Ireland,1 run,The Hague,"May 19, 2024",T20I # 2612
Netherlands,Scotland,Netherlands,41 runs,The Hague,"May 18, 2024",T20I # 2611
Ireland,Pakistan,Pakistan,6 wickets,Dublin,"May 14, 2024",T20I # 2610
Ireland,Pakistan,Pakistan,7 wickets,Dublin,"May 12, 2024",T20I # 2609
France,Belgium,Belgium,15 runs,Dreux,"May 12, 2024",T20I # 2608
Bangladesh,Zimbabwe,Zimbabwe,8 wickets,Mirpur,"May 12, 2024",T20I # 2607
Japan,Mongolia,Japan,157 runs,Sano,"May 12, 2024",T20I # 2606
France,Belgium,France,7 wickets,Dreux,"May 11, 2024",T20I # 2605
Belgium,Malta,Belgium,7 wickets,Dreux,"May 11, 2024",T20I # 2604
Japan,Mongolia,Japan,158 runs,Sano,"May 11, 2024",T20I # 2603
Japan,Mongolia,Japan,180 runs,Sano,"May 11, 2024",T20I # 2602
Ireland,Pakistan,Ireland,5 wickets,Dublin,"May 10, 2024",T20I # 2601
Belgium,Malta,Belgium,16 runs,Dreux,"May 10, 2024",T20I # 2600
Bangladesh,Zimbabwe,Bangladesh,5 runs,Mirpur,"May 10, 2024",T20I # 2599
France,Belgium,tied,-,Dreux,"May 10, 2024",T20I # 2598
France,Malta,France,86 runs,Dreux,"May 9, 2024",T20I # 2597
France,Malta,France,9 runs,Dreux,"May 9, 2024",T20I # 2596
Japan,Mongolia,Japan,10 wickets,Sano,"May 9-10, 2024",T20I # 2595
Japan,Mongolia,no result,-,Sano,"May 8, 2024",T20I # 2594
Japan,Mongolia,Japan,205 runs,Sano,"May 8, 2024",T20I # 2593
Bangladesh,Zimbabwe,Bangladesh,9 runs,Chattogram,"May 7, 2024",T20I # 2592
Japan,Mongolia,Japan,166 runs,Sano,"May 7, 2024",T20I # 2591
Indonesia,Thailand,Thailand,6 wickets,Bali,"May 6, 2024",T20I # 2590
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Chattogram,"May 5, 2024",T20I # 2589
Indonesia,Thailand,Thailand,17 runs,Bali,"May 5, 2024",T20I # 2588
Indonesia,Thailand,Indonesia,33 runs,Bali,"May 4, 2024",T20I # 2587
Bangladesh,Zimbabwe,Bangladesh,8 wickets,Chattogram,"May 3, 2024",T20I # 2586
Indonesia,Thailand,Indonesia,6 wickets,Bali,"May 2, 2024",T20I # 2585
Indonesia,Thailand,Thailand,8 runs,Bali,"May 1, 2024",T20I # 2584
Pakistan,New Zealand,Pakistan,9 runs,Lahore,"Apr 27, 2024",T20I # 2583
Pakistan,New Zealand,New Zealand,4 runs,Lahore,"Apr 25, 2024",T20I # 2582
Pakistan,New Zealand,New Zealand,7 wickets,Rawalpindi,"Apr 21, 2024",T20I # 2581
Oman,U.A.E.,U.A.E.,55 runs,Al Amerat,"Apr 21, 2024",T20I # 2580
Pakistan,New Zealand,Pakistan,7 wickets,Rawalpindi,"Apr 20, 2024",T20I # 2579
Hong Kong,Nepal,Hong Kong,4 wickets,Al Amerat,"Apr 20, 2024",T20I # 2578
Oman,Hong Kong,Oman,5 wickets,Al Amerat,"Apr 19, 2024",T20I # 2577
Nepal,U.A.E.,U.A.E.,6 wickets,Al Amerat,"Apr 19, 2024",T20I # 2576
Pakistan,New Zealand,no result,-,Rawalpindi,"Apr 18, 2024",T20I # 2575
Cambodia,U.A.E.,U.A.E.,9 wickets,Al Amerat,"Apr 17, 2024",T20I # 2573
Oman,Kuwait,Oman,46 runs,Al Amerat,"Apr 17, 2024",T20I # 2574
Hong Kong,Malaysia,Hong Kong,7 wickets,Al Amerat,"Apr 17, 2024",T20I # 2571
Nepal,Saudi Arabia,Nepal,6 wickets,Al Amerat,"Apr 17, 2024",T20I # 2572
Bahrain,Cambodia,Bahrain,7 wickets,Al Amerat,"Apr 16, 2024",T20I # 2570
Qatar,Saudi Arabia,Qatar,15 runs,Al Amerat,"Apr 16, 2024",T20I # 2569
Oman,U.A.E.,Oman,9 wickets,Al Amerat,"Apr 15, 2024",T20I # 2567
Bahrain,Kuwait,Kuwait,26 runs,Al Amerat,"Apr 15, 2024",T20I # 2568
Hong Kong,Nepal,Nepal,8 wickets,Al Amerat,"Apr 15, 2024",T20I # 2565
Malaysia,Qatar,Qatar,4 wickets,Al Amerat,"Apr 15, 2024",T20I # 2566
Costa Rica,Mexico,Mexico,58 runs,Guacima,"Apr 14, 2024",T20I # 2564
Spain,Jersey,Spain,1 wicket,Cartagena,"Apr 14, 2024",T20I # 2563
Hong Kong,Saudi Arabia,Saudi Arabia,55 runs,Al Amerat,"Apr 14, 2024",T20I # 2562
Spain,Jersey,Spain,5 wickets,Cartagena,"Apr 14, 2024",T20I # 2561
Oman,Cambodia,Oman,63 runs,Al Amerat,"Apr 14, 2024",T20I # 2560
Costa Rica,Mexico,Costa Rica,42 runs,Guacima,"Apr 13, 2024",T20I # 2558
U.S.A.,Canada,U.S.A.,4 wickets,Prairie View,"Apr 13, 2024",T20I # 2559
Nepal,Qatar,Nepal,32 runs,Al Amerat,"Apr 13, 2024",T20I # 2556
Malaysia,Saudi Arabia,Malaysia,12 runs,Al Amerat,"Apr 13, 2024",T20I # 2557
Cambodia,Kuwait,Kuwait,8 wickets,Al Amerat,"Apr 13, 2024",T20I # 2554
Bahrain,U.A.E.,U.A.E.,37 runs,Al Amerat,"Apr 13, 2024",T20I # 2555
Costa Rica,Mexico,Mexico,42 runs,Guacima,"Apr 12, 2024",T20I # 2553
U.S.A.,Canada,U.S.A.,14 runs,Prairie View,"Apr 12, 2024",T20I # 2552
Costa Rica,Mexico,Mexico,22 runs,Guacima,"Apr 12, 2024",T20I # 2551
Malaysia,Nepal,Nepal,5 wickets,Al Amerat,"Apr 12, 2024",T20I # 2549
Hong Kong,Qatar,Hong Kong,26 runs,Al Amerat,"Apr 12, 2024",T20I # 2550
Oman,Bahrain,Oman,3 runs,Al Amerat,"Apr 12, 2024",T20I # 2547
Kuwait,U.A.E.,U.A.E.,7 wickets,Al Amerat,"Apr 12, 2024",T20I # 2548
Costa Rica,Mexico,Costa Rica,8 wickets,Guacima,"Apr 11, 2024",T20I # 2546
U.S.A.,Canada,U.S.A.,31 runs,Prairie View,"Apr 9, 2024",T20I # 2545
U.S.A.,Canada,U.S.A.,6 wickets,Prairie View,"Apr 7, 2024",T20I # 2544
Oman,Namibia,Namibia,62 runs,Al Amerat,"Apr 7, 2024",T20I # 2543
Oman,Namibia,Namibia,24 runs,Al Amerat,"Apr 5, 2024",T20I # 2542
Oman,Namibia,Oman,8 wickets,Al Amerat,"Apr 4, 2024",T20I # 2541
Oman,Namibia,Oman,6 runs,Al Amerat,"Apr 2, 2024",T20I # 2540
Oman,Namibia,Namibia,4 wickets,Al Amerat,"Apr 1, 2024",T20I # 2539
Eswatini,Lesotho,Eswatini,3 wickets,Malkerns,"Mar 31, 2024",T20I # 2538
Eswatini,Lesotho,Eswatini,39 runs,Malkerns,"Mar 30, 2024",T20I # 2537
Eswatini,Lesotho,Lesotho,8 wickets,Malkerns,"Mar 30, 2024",T20I # 2536
Eswatini,Lesotho,Lesotho,6 wickets,Malkerns,"Mar 29, 2024",T20I # 2535
Eswatini,Lesotho,Eswatini,55 runs,Malkerns,"Mar 29, 2024",T20I # 2534
Kenya,Uganda,Uganda,106 runs,Accra,"Mar 23, 2024",T20I # 2533
Namibia,Uganda,Namibia,24 runs,Accra,"Mar 21, 2024",T20I # 2532
Namibia,Tanzania,Namibia,7 wickets,Accra,"Mar 20, 2024",T20I # 2531
Ghana,Kenya,Kenya,7 wickets,Accra,"Mar 20, 2024",T20I # 2530
Afghanistan,Ireland,Afghanistan,57 runs,Sharjah,"Mar 18, 2024",T20I # 2529
Ghana,Uganda,Uganda,121 runs,Accra,"Mar 18, 2024",T20I # 2528
Namibia,Nigeria,Nigeria,3 wickets,Accra,"Mar 18, 2024",T20I # 2527
Afghanistan,Ireland,Afghanistan,10 runs,Sharjah,"Mar 17, 2024",T20I # 2526
Kenya,Uganda,Uganda,72 runs,Accra,"Mar 17, 2024",T20I # 2525
Nigeria,Tanzania,Tanzania,47 runs,Accra,"Mar 17, 2024",T20I # 2524
Malaysia,P.N.G.,Malaysia,63 runs,Kuala Lumpur,"Mar 17, 2024",T20I # 2523
Malaysia,P.N.G.,P.N.G.,77 runs,Kuala Lumpur,"Mar 16, 2024",T20I # 2522
Afghanistan,Ireland,Ireland,38 runs,Sharjah,"Mar 15, 2024",T20I # 2521
U.A.E.,Scotland,Scotland,32 runs,Dubai (DICS),"Mar 14, 2024",T20I # 2520
U.A.E.,Scotland,Scotland,9 runs,Dubai (DICS),"Mar 13, 2024",T20I # 2519
Nepal,P.N.G.,P.N.G.,86 runs,Mong Kok,"Mar 13, 2024",T20I # 2518
Hong Kong,P.N.G.,P.N.G.,10 wickets,Mong Kok,"Mar 12, 2024",T20I # 2517
Nepal,P.N.G.,Nepal,85 runs,Mong Kok,"Mar 12, 2024",T20I # 2516
U.A.E.,Scotland,U.A.E.,8 wickets,Dubai (DICS),"Mar 11, 2024",T20I # 2515
Malaysia,Bahrain,Bahrain,8 wickets,Kuala Lumpur,"Mar 11, 2024",T20I # 2514
Kuwait,Vanuatu,Kuwait,7 wickets,Kuala Lumpur,"Mar 11, 2024",T20I # 2513
Malaysia,Tanzania,Malaysia,6 wickets,Kuala Lumpur,"Mar 10, 2024",T20I # 2512
Hong Kong,Nepal,no result,-,Mong Kok,"Mar 10, 2024",T20I # 2511
Bahrain,Vanuatu,Bahrain,56 runs,Kuala Lumpur,"Mar 10, 2024",T20I # 2510
Bangladesh,Sri Lanka,Sri Lanka,28 runs,Sylhet,"Mar 9, 2024",T20I # 2509
Bahrain,Tanzania,Bahrain,52 runs,Kuala Lumpur,"Mar 9, 2024",T20I # 2508
Hong Kong,Nepal,Hong Kong,73 runs,Mong Kok,"Mar 9, 2024",T20I # 2507
Malaysia,Kuwait,Malaysia,7 wickets,Kuala Lumpur,"Mar 9, 2024",T20I # 2506
Oman,P.N.G.,Oman,4 wickets,Al Amerat,"Mar 8, 2024",T20I # 2505
Oman,P.N.G.,P.N.G.,8 wickets,Al Amerat,"Mar 7, 2024",T20I # 2504
Kuwait,Vanuatu,Kuwait,8 wickets,Kuala Lumpur,"Mar 7, 2024",T20I # 2503
Malaysia,Bahrain,Bahrain,9 wickets,Kuala Lumpur,"Mar 7, 2024",T20I # 2502
Bangladesh,Sri Lanka,Bangladesh,8 wickets,Sylhet,"Mar 6, 2024",T20I # 2501
Oman,P.N.G.,Oman,3 wickets,Al Amerat,"Mar 6, 2024",T20I # 2500
Malaysia,Vanuatu,Malaysia,52 runs,Kuala Lumpur,"Mar 6, 2024",T20I # 2499
Kuwait,Tanzania,Kuwait,5 wickets,Kuala Lumpur,"Mar 6, 2024",T20I # 2498
Bahrain,Kuwait,Bahrain,28 runs,Kuala Lumpur,"Mar 5, 2024",T20I # 2496
Nepal,Netherlands,Netherlands,4 wickets,Kirtipur,"Mar 5, 2024",T20I # 2497
Tanzania,Vanuatu,Vanuatu,9 runs,Kuala Lumpur,"Mar 5, 2024",T20I # 2495
Bangladesh,Sri Lanka,Sri Lanka,3 runs,Sylhet,"Mar 4, 2024",T20I # 2494
Namibia,Netherlands,no result,-,Kirtipur,"Mar 3, 2024",T20I # 2493
Nepal,Netherlands,Nepal,6 wickets,Kirtipur,"Mar 2, 2024",T20I # 2492
Qatar,Hong Kong,tied,-,Doha,"Mar 1, 2024",T20I # 2491
Nepal,Namibia,Nepal,3 runs,Kirtipur,"Mar 1, 2024",T20I # 2490
Qatar,Hong Kong,Qatar,4 wickets,Doha,"Feb 29, 2024",T20I # 2489
Namibia,Netherlands,Netherlands,59 runs,Kirtipur,"Feb 29, 2024",T20I # 2488
Nepal,Netherlands,Netherlands,2 runs,Kirtipur,"Feb 28, 2024",T20I # 2487
Qatar,Hong Kong,Hong Kong,10 runs,Doha,"Feb 27, 2024",T20I # 2486
Nepal,Namibia,Namibia,20 runs,Kirtipur,"Feb 27, 2024",T20I # 2485
New Zealand,Australia,Australia,27 runs,Auckland,"Feb 25, 2024",T20I # 2484
New Zealand,Australia,Australia,72 runs,Auckland,"Feb 23, 2024",T20I # 2483
Sri Lanka,Afghanistan,Afghanistan,3 runs,Dambulla,"Feb 21, 2024",T20I # 2482
New Zealand,Australia,Australia,6 wickets,Wellington,"Feb 21, 2024",T20I # 2481
Sri Lanka,Afghanistan,Sri Lanka,72 runs,Dambulla,"Feb 19, 2024",T20I # 2480
Sri Lanka,Afghanistan,Sri Lanka,4 runs,Dambulla,"Feb 17, 2024",T20I # 2479
Hong Kong,Japan,Hong Kong,34 runs,Mong Kok,"Feb 17, 2024",T20I # 2478
Bhutan,Maldives,Bhutan,4 wickets,Bangkok,"Feb 16, 2024",T20I # 2477
China,Japan,Japan,44 runs,Mong Kok,"Feb 16, 2024",T20I # 2476
Thailand,Saudi Arabia,Saudi Arabia,8 wickets,Bangkok,"Feb 16, 2024",T20I # 2475
Hong Kong,China,Hong Kong,10 wickets,Mong Kok,"Feb 16, 2024",T20I # 2474
Bhutan,Saudi Arabia,Saudi Arabia,166 runs,Bangkok,"Feb 15, 2024",T20I # 2473
Hong Kong,Japan,Hong Kong,27 runs,Mong Kok,"Feb 15, 2024",T20I # 2472
Thailand,Maldives,Thailand,8 wickets,Bangkok,"Feb 15, 2024",T20I # 2471
China,Japan,Japan,180 runs,Mong Kok,"Feb 15, 2024",T20I # 2470
Hong Kong,Japan,Hong Kong,7 wickets,Mong Kok,"Feb 14, 2024",T20I # 2469
Hong Kong,China,Hong Kong,123 runs,Mong Kok,"Feb 14, 2024",T20I # 2468
Australia,West Indies,West Indies,37 runs,Perth,"Feb 13, 2024",T20I # 2467
Bhutan,Maldives,Maldives,9 wickets,Bangkok,"Feb 13, 2024",T20I # 2466
Thailand,Saudi Arabia,Saudi Arabia,5 wickets,Bangkok,"Feb 13, 2024",T20I # 2465
Maldives,Saudi Arabia,Saudi Arabia,98 runs,Bangkok,"Feb 12, 2024",T20I # 2464
Thailand,Bhutan,Thailand,10 wickets,Bangkok,"Feb 12, 2024",T20I # 2463
Australia,West Indies,Australia,34 runs,Adelaide,"Feb 11, 2024",T20I # 2462
Cambodia,Saudi Arabia,Saudi Arabia,5 wickets,Bangkok,"Feb 11, 2024",T20I # 2461
Japan,Singapore,Singapore,8 wickets,Bangkok,"Feb 11, 2024",T20I # 2460
Australia,West Indies,Australia,11 runs,Hobart,"Feb 9, 2024",T20I # 2459
Cambodia,Singapore,Cambodia,6 wickets,Bangkok,"Feb 9, 2024",T20I # 2458
Japan,Saudi Arabia,Saudi Arabia,10 wickets,Bangkok,"Feb 9, 2024",T20I # 2457
Bhutan,Maldives,Maldives,32 runs,Bangkok,"Feb 7, 2024",T20I # 2456
Thailand,Indonesia,Thailand,7 wickets,Bangkok,"Feb 7, 2024",T20I # 2455
Thailand,Maldives,Thailand,8 wickets,Bangkok,"Feb 6, 2024",T20I # 2454
Japan,Singapore,Singapore,34 runs,Bangkok,"Feb 6, 2024",T20I # 2453
Bhutan,Cambodia,Cambodia,10 runs,Bangkok,"Feb 5, 2024",T20I # 2452
Indonesia,Saudi Arabia,Saudi Arabia,82 runs,Bangkok,"Feb 5, 2024",T20I # 2451
Japan,Maldives,Japan,42 runs,Bangkok,"Feb 4, 2024",T20I # 2450
Thailand,Singapore,Thailand,7 wickets,Bangkok,"Feb 4, 2024",T20I # 2449
Cambodia,Indonesia,Cambodia,6 wickets,Bangkok,"Feb 3, 2024",T20I # 2448
Bhutan,Saudi Arabia,Saudi Arabia,8 wickets,Bangkok,"Feb 3, 2024",T20I # 2447
Thailand,Japan,Japan,46 runs,Bangkok,"Feb 2, 2024",T20I # 2446
Maldives,Singapore,Singapore,41 runs,Bangkok,"Feb 2, 2024",T20I # 2445
Bhutan,Indonesia,Indonesia,16 runs,Bangkok,"Feb 1, 2024",T20I # 2444
Cambodia,Saudi Arabia,Saudi Arabia,88 runs,Bangkok,"Feb 1, 2024",T20I # 2443
China,Myanmar,China,47 runs,Bangkok,"Jan 30, 2024",T20I # 2442
China,Myanmar,Myanmar,1 wicket,Bangkok,"Jan 29, 2024",T20I # 2441
Cambodia,China,Cambodia,93 runs,Bangkok,"Jan 28, 2024",T20I # 2440
Cambodia,Myanmar,Cambodia,7 wickets,Bangkok,"Jan 27, 2024",T20I # 2439
New Zealand,Pakistan,Pakistan,42 runs,Christchurch,"Jan 21, 2024",T20I # 2438
New Zealand,Pakistan,New Zealand,7 wickets,Christchurch,"Jan 19, 2024",T20I # 2437
Sri Lanka,Zimbabwe,Sri Lanka,9 wickets,Colombo (RPS),"Jan 18, 2024",T20I # 2436
India,Afghanistan,tied,-,Bengaluru,"Jan 17, 2024",T20I # 2435
New Zealand,Pakistan,New Zealand,45 runs,Dunedin,"Jan 17, 2024",T20I # 2434
Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Colombo (RPS),"Jan 16, 2024",T20I # 2433
India,Afghanistan,India,6 wickets,Indore,"Jan 14, 2024",T20I # 2431
Sri Lanka,Zimbabwe,Sri Lanka,3 wickets,Colombo (RPS),"Jan 14, 2024",T20I # 2432
New Zealand,Pakistan,New Zealand,21 runs,Hamilton,"Jan 14, 2024",T20I # 2430
New Zealand,Pakistan,New Zealand,46 runs,Auckland,"Jan 12, 2024",T20I # 2429
India,Afghanistan,India,6 wickets,Mohali,"Jan 11, 2024",T20I # 2428
U.A.E.,Afghanistan,Afghanistan,4 wickets,Sharjah,"Jan 2, 2024",T20I # 2427
